1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
1	0	2857.6679169824	3682.50908983926	7663.96615473546	34077.8192932497	6685.76545665794	26520.0217987639	9246.30315067969	9869.82763341637	7285.285102214	8954.92685948425	9286.09015393093	26017.2627069642	30221.0217521462	34659.434451754	34614.0767615151	21560.0063224862	10748.0383376756	2788.29841863745	5648.16385326036	12162.869550424	6186.94012510822	24907.5580935398	12924.0190297534	10402.1649400443	20025.7113802414	23596.3448091989	12161.5048939967	10732.0321523588	14454.5218933094	17786.7912757785
2	2857.6679169824	0	828.630993095753	5317.10180888292	35393.3163643415	3851.94865819206	27714.2996576916	6567.44881449711	7081.2707705022	5037.8982456508	8349.43028541097	8594.04761926765	26807.0645143111	31093.1909286806	35573.7107136306	35297.5605184963	23584.047993159	12179.469122073	2459.51348174867	6470.60217140938	13131.6073638706	6078.95814182767	26027.4759112283	13422.7532618208	9963.65269565393	21937.0164347587	24983.7328015312	13317.0790398203	11021.6463665763	15731.8169561554	19974.0611769313
3	3682.50908983926	828.630993095753	0	4814.52636289822	35728.6185318552	3063.93449279401	28024.5005750359	5869.17534652825	6315.65653443231	4446.62292917798	8260.42410046901	8473.0554508502	27002.4201847298	31304.9725239564	35791.9701411416	35449.0884460834	24139.7855999501	12612.3472123645	2863.49337334095	6838.77970666913	13431.9973507214	6208.17992823059	26319.3692100939	13589.7513008575	9896.98228454699	22463.2152214951	25354.4146981134	13667.1714716601	11153.7268882396	16100.606484981	20582.3845853535
4	7663.96615473546	5317.10180888292	4814.52636289822	0	40490.4781475758	2960.45020177658	32766.9746352094	2269.850460891	3440.27126297734	7330.52935456955	12453.1691424532	12579.6381980781	31593.084457878	35915.3707240658	40407.3733470495	39944.8703656804	28901.0449143093	17426.7888668427	7675.21569583555	11646.4971721761	18185.9333401278	10845.5471757268	31044.2345508752	18184.9757985643	14088.3588281309	27250.4029426044	30146.0348629082	18455.6292990383	15716.252964124	20896.4313790899	25272.1396939557
5	34077.8192932497	35393.3163643415	35728.6185318552	40490.4781475758	0	37948.1487626137	7761.50742269815	40879.2582663792	40665.8885636554	34190.3891121948	28680.9831645911	28715.333113064	10265.3398199061	6835.03349880727	5341.36488391178	8236.35443519643	14907.9075968223	23336.1720094346	32935.7713299393	28922.7315742289	22304.6657193026	29676.3192725967	9545.75884084591	22547.9359959291	27252.7518954639	15373.653626493	10488.1823726413	22076.2921063282	24999.5579898176	19675.8826142466	18757.7389673244
6	6685.76545665794	3851.94865819206	3063.93449279401	2960.45020177658	37948.1487626137	0	30198.9926106111	3000.38499696131	3263.5282190946	4372.39159158799	9611.75913863146	9710.9870583128	28859.4957173617	33191.0378112087	37682.1605000291	37140.6242791904	26908.480770248	15182.0527976688	5683.4355959216	9389.81189335994	15688.6788693632	8286.95206132319	28451.3852266431	15497.5211859535	11230.5378364077	25175.5528338063	27697.0308043646	16039.9769489563	13021.4829389073	18492.4382098518	23456.4887798824
7	26520.0217987639	27714.2996576916	28024.5005750359	32766.9746352094	7761.50742269815	30198.9926106111	0	33123.3041797336	32904.4710274197	26429.573951447	20923.3552607945	20962.7098862052	4101.24562257063	4971.05353845003	8642.5193774119	9774.4957838113	9866.01751174167	15780.2410740398	25254.7950179332	21248.5588252017	14592.5794024274	21937.1590838669	1813.04519336148	14786.9035758579	19508.3941688928	9434.36375173378	3433.69729138234	14416.0099065669	17238.2304329546	12066.0740222697	12869.1321527883
8	9246.30315067969	6567.44881449711	5869.17534652825	2269.850460891	40879.2582663792	3000.38499696131	33123.3041797336	0	1230.45210691763	6904.45908282585	12376.079824857	12431.7646073497	31677.4713814502	36012.6531062602	40499.2671355378	39872.89227774	29897.6395829996	18182.3222683917	8631.63451763219	12389.7666019523	18654.6490858464	11255.4741811598	31365.2536901964	18377.7657937796	13955.5670736558	28172.0125742818	30664.8659260939	19024.1440048276	15905.6280607918	21476.4298269389	26414.6708570354
9	9869.82763341637	7081.2707705022	6315.65653443231	3440.27126297734	40665.8885636554	3263.5282190946	32904.4710274197	1230.45210691763	0	6503.1706969846	12032.5807631575	12049.9781820883	31317.3347031933	35651.4709878473	40129.0147073568	39419.2685031716	30045.7639932422	18236.3898205592	8921.81419461178	12490.9671982557	18546.7061569557	11191.3583016006	31130.9828088858	18122.4202744689	13563.7986134909	28280.4967689916	30539.7072820777	18968.8428331692	15666.3874583774	21414.6948301586	26658.0596932022
10	7285.285102214	5037.8982456508	4446.62292917798	7330.52935456955	34190.3891121948	4372.39159158799	26429.573951447	6904.45908282585	6503.1706969846	0	5530.09647545181	5550.64405685299	24818.9910913641	29153.881397863	33634.4327691429	32971.2235639976	24142.5861780544	12240.747112236	4790.03986140569	6868.49850291404	12220.8775675349	5136.80757584891	24648.9860528941	11642.7096265671	7069.32497264083	22294.7623206379	24144.6529738747	12726.75870884	9204.89179185703	15139.9696774854	21051.3215338322
11	8954.92685948425	8349.43028541097	8260.42410046901	12453.1691424532	28680.9831645911	9611.75913863146	20923.3552607945	12376.079824857	12032.5807631575	5530.09647545181	0	399.641506198217	19303.7852852678	23639.2077624051	28124.2360396953	27530.1085020749	19358.9749035148	7723.58561148393	6341.17962342866	4481.9048221704	7042.03989778457	2868.42532259484	19135.9962187901	6150.19147134359	1645.54181057675	17432.6277436469	18735.4949030784	7698.82778822704	3783.85445303847	9981.51924111345	16716.4770708703
12	9286.09015393093	8594.04761926765	8473.0554508502	12579.6381980781	28715.333113064	9710.9870583128	20962.7098862052	12431.7646073497	12049.9781820883	5550.64405685299	399.641506198217	0	19268.539347668	23603.3163274004	28083.8902701137	27448.741012047	19580.1803670789	8010.57276746202	6642.94340800163	4880.98845605721	7229.04565818351	3242.0257948	19169.6611886527	6220.64516981416	1524.39097767007	17645.5417478875	18827.8729072931	7913.47003466119	3919.32175463215	10159.2108518805	16991.8319728128
13	26017.2627069642	26807.0645143111	27002.4201847298	31593.084457878	10265.3398199061	28859.4957173617	4101.24562257063	31677.4713814502	31317.3347031933	24818.9910913641	19303.7852852678	19268.539347668	0	4335.42637735459	8823.27110678457	8632.13471657867	12832.1084498866	15579.7354585939	24375.6834584687	20475.0365709443	13855.4507788856	20797.8758690473	3316.72035932324	13418.1684300664	17753.6457357649	11877.5176270785	6114.71908109147	13935.0503236689	15878.5279857209	11918.1291515003	15039.5853520786
14	30221.0217521462	31093.1909286806	31304.9725239564	35915.3707240658	6835.03349880727	33191.0378112087	4971.05353845003	36012.6531062602	35651.4709878473	29153.881397863	23639.2077624051	23603.3163274004	4335.42637735459	0	4492.20778606125	4853.57037841674	14825.8294854534	19653.3437172424	28653.4338110994	24724.4522885956	18066.2397000732	25105.8458367606	5802.88195972211	17732.8989814085	22087.6725816727	14382.54523229	8328.37778561468	18080.71541017	20199.1200325362	15936.9577613188	17791.957040092
15	34659.434451754	35573.7107136306	35791.9701411416	40407.3733470495	5341.36488391178	37682.1605000291	8642.5193774119	40499.2671355378	40129.0147073568	33634.4327691429	28124.2360396953	28083.8902701137	8823.27110678457	4492.20778606125	0	2951.52527942285	17980.384904789	24034.8032791599	33130.7450652065	29190.0180277127	22519.6081779485	29595.0735285946	9929.37986893717	22224.2318789491	26566.1851861128	17901.6574708478	12057.6245346242	22503.4344511734	24691.1271179892	20304.7213785846	21370.9503333749
